condition,numSeeds,extinctionRate,mean_executionTime,std_executionTime,mean_extinct,std_extinct,mean_finalPopulation,std_finalPopulation,mean_totalDeaths,std_totalDeaths,mean_totalBorn,std_totalBorn,mean_finalTimestep,std_finalTimestep,mean_finalMeanWealth,std_finalMeanWealth,mean_finalSocietalWealth,std_finalSocietalWealth,mean_finalGini,std_finalGini,mean_finalMeanTimeToLive,std_finalMeanTimeToLive,mean_totalCombatActions,std_totalCombatActions,mean_totalTradeActions,std_totalTradeActions,mean_totalReproductionActions,std_totalReproductionActions,mean_totalLendingActions,std_totalLendingActions
phiRawDerived,30,0.16666666666666666,278.4597,178.4377,0.1667,0.3727,821.4667,469.828,8268.6,4967.6067,8840.0667,5421.0708,863.1,306.1639,61.6217,35.3106,55897.2927,29513.2159,0.1983,0.1113,15.6447,7.5126,327.1,234.3347,178356.4333,126062.5708,8745.3667,5365.697,3709.1333,2771.4069
phiEgoistDerived,30,0.16666666666666666,272.7543,175.086,0.1667,0.3727,821.4667,469.828,8268.6,4967.6067,8840.0667,5421.0708,863.1,306.1639,61.6217,35.3106,55897.2927,29513.2159,0.1983,0.1113,15.6447,7.5126,327.1,234.3347,178356.4333,126062.5708,8745.3667,5365.697,3709.1333,2771.4069
phiAltruistDerived,30,0.2,217.3387,149.6646,0.2,0.4,705.3333,477.8443,7033.5333,4809.3877,7488.8667,5272.3808,836.6667,327.0665,58.4053,33.0174,48075.0657,30565.0833,0.1942,0.1091,14.139,7.8556,296.5,166.1073,143606.0667,117250.1997,7407.5667,5214.5641,3346.1333,2704.7284
phiBenthamDerived,30,0.0,306.3287,74.0558,0.0,0.0,1147.2333,173.65,14419.8333,1471.8415,15317.0667,1625.0125,1000.0,0.0,58.5513,5.9779,66277.7117,5660.4778,0.2154,0.0332,18.4783,0.7153,2979.7,594.0936,233230.3333,31527.104,15062.0,1599.5018,8102.3,846.642
