Metric,Value
Seeds,500
Extinct (%),87.4
Worse (%),4.0
Better (%),8.6
initial_population,250.0
final_population,36.54
mean_population,51.07
total_societal_wealth_end,2906.18
mean_agent_wealth_overall,232.77
mean_time_to_live,19.61
mean_age_at_death,13.8
mean_deaths_per_timestep,2.67
starvation_deaths,103.12
combat_deaths,151.96
aging_deaths,1213.22
disease_deaths,0.0
total_reproductions,1254.84
total_trades,82660.86
total_loans,17129.48
total_combats,151.96
