Metric,Value
Seeds,500
Extinct (%),85.4
Worse (%),5.2
Better (%),9.4
initial_population,250.0
final_population,41.08
mean_population,53.1
total_societal_wealth_end,3244.49
mean_agent_wealth_overall,236.89
mean_time_to_live,20.04
mean_age_at_death,14.51
mean_deaths_per_timestep,2.63
starvation_deaths,95.94
combat_deaths,159.92
aging_deaths,1326.58
disease_deaths,0.0
total_reproductions,1373.52
total_trades,90511.92
total_loans,19781.86
total_combats,159.92
