Condition,Mean TTL,Mean Age@Death,Deaths/Timestep,Starvation,Combat,Aging
Hetero (Derived),19.66,14.42,2.7,96.8,160.9,1364.9
Hetero (Idealized),20.2,24.07,2.8,122.5,161.3,3088.6
Homo Altruist (Derived),20.04,14.51,2.63,95.9,159.9,1326.6
Homo Altruist (Idealized),18.76,63.37,6.08,255.6,365.4,14573.7
Homo Selfish (Derived),19.57,12.78,2.66,98.2,159.7,1116.0
Homo Selfish (Idealized),19.61,13.8,2.67,103.1,152.0,1213.2
Homo Utilitarian,19.75,12.9,2.67,97.1,159.6,1077.9
