Condition,Avg. Combat,SD Combat,Avg. Trade,SD Trade,Avg. Reproduction,SD Reproduction,Avg. Lending,SD Lending
Raw Sugarscape,375.3333,226.3636,1175727.2667,1039038.3965,52431.6333,39296.9189,16617.1,16365.0705
Egoist,327.1,234.3347,1364594.9333,968030.9009,60383.5667,36525.3686,18571.5,15430.9851
Altruist,296.5,166.1073,1098990.5667,929896.4616,50889.3,35982.6435,16713.0,14023.3848
Bentham,2980.1,593.5797,2022514.3333,485689.3244,94885.7333,15271.2345,30388.0333,8006.3021
