Condition,Seeds,Extinction Rate,Mean Final Pop.,SD Final Pop.,Mean Wealth (final),Mean Gini (final),SD Gini,Mean TTL (final),SD TTL,Mean Total Deaths,Mean Total Born
Raw Sugarscape,30,0.2666666666666666,745.3333,553.6377,47.031,0.1458,0.0951,12.841,8.3634,52402.7333,52898.0667
Egoist,30,0.1666666666666666,866.8667,502.7214,59.4043,0.1859,0.1116,15.5617,7.4396,60303.3,60920.1667
Altruist,30,0.2,747.6,510.7016,55.4237,0.1793,0.105,13.951,7.776,50877.3,51374.9
Bentham,30,0.0,1296.6,234.6117,51.5327,0.1869,0.0397,18.062,0.5873,94756.7667,95803.3667
