condition,numSeeds,extinctionRate,mean_executionTime,std_executionTime,mean_extinct,std_extinct,mean_finalPopulation,std_finalPopulation,mean_totalDeaths,std_totalDeaths,mean_totalBorn,std_totalBorn,mean_finalTimestep,std_finalTimestep,mean_finalMeanWealth,std_finalMeanWealth,mean_finalSocietalWealth,std_finalSocietalWealth,mean_finalGini,std_finalGini,mean_finalMeanTimeToLive,std_finalMeanTimeToLive,mean_totalCombatActions,std_totalCombatActions,mean_totalTradeActions,std_totalTradeActions,mean_totalReproductionActions,std_totalReproductionActions,mean_totalLendingActions,std_totalLendingActions
rawSugarscape,30,0.26666666666666666,875.213,715.0357,0.2667,0.4422,745.3333,553.6377,52402.7333,39059.5347,52898.0667,39606.8561,3720.0667,2122.5676,47.031,30.3958,45246.7227,31569.0762,0.1458,0.0951,12.841,8.3634,375.3333,226.3636,1175727.2667,1039038.3965,52431.6333,39296.9189,16617.1,16365.0705
egoist,30,0.16666666666666666,1726.633,1120.2337,0.1667,0.3727,866.8667,502.7214,60303.3,36320.3126,60920.1667,36816.1553,4196.4333,1796.8376,59.4043,35.6736,55912.6537,29422.2742,0.1859,0.1116,15.5617,7.4396,327.1,234.3347,1364594.9333,968030.9009,60383.5667,36525.3686,18571.5,15430.9851
altruist,30,0.2,1385.208,1029.5061,0.2,0.4,747.6,510.7016,50877.3,35782.6122,51374.9,36285.9308,4036.6667,1926.7345,55.4237,31.6558,47810.3677,30071.9653,0.1793,0.105,13.951,7.776,296.5,166.1073,1098990.5667,929896.4616,50889.3,35982.6435,16713.0,14023.3848
bentham,30,0.0,2593.3597,1114.4852,0.0,0.0,1296.6,234.6117,94756.7667,15114.1013,95803.3667,15337.7757,5000.0,0.0,51.5327,5.9582,65475.169,6446.6058,0.1869,0.0397,18.062,0.5873,2980.1,593.5797,2022514.3333,485689.3244,94885.7333,15271.2345,30388.0333,8006.3021
