Metric,Value
Seeds,500
Extinct (%),89.0
Worse (%),3.2
Better (%),7.8
initial_population,250.0
final_population,33.2
mean_population,47.3
total_societal_wealth_end,2572.14
mean_agent_wealth_overall,235.34
mean_time_to_live,19.75
mean_age_at_death,12.9
mean_deaths_per_timestep,2.67
starvation_deaths,97.08
combat_deaths,159.62
aging_deaths,1077.92
disease_deaths,0.0
total_reproductions,1117.81
total_trades,77106.25
total_loans,15195.22
total_combats,159.62
