Condition,Mean Pop,Final Pop,End Wealth,Mean Agent Wealth
Hetero (Derived),53.66,41.09,3286.04,233.57
Hetero (Idealized),99.55,95.59,6900.42,222.15
Homo Altruist (Derived),53.1,41.08,3244.49,236.89
Homo Altruist (Idealized),393.68,437.91,20953.33,53.77
Homo Selfish (Derived),47.62,34.74,2619.05,236.67
Homo Selfish (Idealized),51.07,36.54,2906.18,232.77
Homo Utilitarian,47.3,33.2,2572.14,235.34
