Condition,Reproductions,Trades,Loans,Combats
Hetero (Derived),3984.5,112404.8,0.0,193.1
Hetero (Idealized),8280.4,256182.2,0.0,241.5
Homo Altruist (Derived),3987.5,111408.0,0.0,189.2
Homo Altruist (Idealized),15179.5,554926.1,0.0,98.0
Homo Selfish (Derived),3687.2,106245.1,0.0,192.9
Homo Selfish (Idealized),4003.9,103623.0,0.0,172.6
Homo Utilitarian,3873.6,105485.7,0.0,185.4
