Metric,Value
Seeds,500
Extinct (%),85.4
Worse (%),5.4
Better (%),9.2
initial_population,250.0
final_population,41.09
mean_population,53.66
total_societal_wealth_end,3286.04
mean_agent_wealth_overall,233.57
mean_time_to_live,19.66
mean_age_at_death,14.42
mean_deaths_per_timestep,2.7
starvation_deaths,96.75
combat_deaths,160.87
aging_deaths,1364.91
disease_deaths,0.0
total_reproductions,1413.62
total_trades,90063.66
total_loans,19300.95
total_combats,160.87
